2024/05/20 10:47:48 Fetching files in bucket s3graphtest10oz--use1-az6--x-s3
2024/05/20 10:47:49 Fetched 173 objects
2024/05/20 10:47:49 QueryId=0 Results=28 time=4ms
2024/05/20 10:47:49 QueryId=0 Results=8 time=4ms
2024/05/20 10:47:49 QueryId=0 Results=0 time=4ms
2024/05/20 10:47:49 QueryId=0 Results=166 time=4ms
2024/05/20 10:47:49 QueryId=0 Results=6 time=5ms
2024/05/20 10:47:49 QueryId=0 Results=112 time=5ms
2024/05/20 10:47:49 QueryId=0 Results=13 time=5ms
2024/05/20 10:47:49 QueryId=0 Results=5 time=5ms
2024/05/20 10:47:49 QueryId=0 Results=52 time=5ms
2024/05/20 10:47:49 QueryId=0 Results=7 time=5ms
2024/05/20 10:47:49 QueryId=0 Results=54 time=8ms
2024/05/20 10:47:49 QueryId=0 Results=13 time=8ms
2024/05/20 10:47:49 QueryId=0 Results=34 time=8ms
2024/05/20 10:47:49 QueryId=0 Results=75 time=8ms
2024/05/20 10:47:49 QueryId=0 Results=10 time=8ms
2024/05/20 10:47:49 QueryId=0 Results=22 time=8ms
2024/05/20 10:47:49 QueryId=0 Results=97 time=9ms
2024/05/20 10:47:49 QueryId=0 Results=56 time=9ms
2024/05/20 10:47:49 QueryId=0 Results=25 time=9ms
2024/05/20 10:47:49 QueryId=0 Results=23 time=9ms
{"S3Fetches":20,"cacheHits":0,"inFlightHits":0,"prefetcherHits":0}
2024/05/20 10:47:49 QueryId=1 Results=1 time=3ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=6ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=6ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=6ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=6ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=6ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=7ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=7ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=8ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=8ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=9ms
2024/05/20 10:47:49 QueryId=1 Results=1 time=9ms
{"S3Fetches":40,"cacheHits":0,"inFlightHits":0,"prefetcherHits":0}
2024/05/20 10:47:49 QueryId=2 Results=1839 time=108ms
2024/05/20 10:47:49 QueryId=2 Results=2931 time=210ms
2024/05/20 10:47:49 QueryId=2 Results=4742 time=213ms
2024/05/20 10:47:49 QueryId=2 Results=3596 time=217ms
2024/05/20 10:47:49 QueryId=2 Results=4767 time=231ms
2024/05/20 10:47:49 QueryId=2 Results=5466 time=232ms
2024/05/20 10:47:49 QueryId=2 Results=3148 time=238ms
2024/05/20 10:47:49 QueryId=2 Results=3523 time=243ms
2024/05/20 10:47:49 QueryId=2 Results=6624 time=294ms
2024/05/20 10:47:49 QueryId=2 Results=6576 time=294ms
2024/05/20 10:47:49 QueryId=2 Results=4120 time=305ms
2024/05/20 10:47:49 QueryId=2 Results=10245 time=410ms
2024/05/20 10:47:49 QueryId=2 Results=9989 time=410ms
2024/05/20 10:47:50 QueryId=2 Results=6421 time=532ms
2024/05/20 10:47:50 QueryId=2 Results=9868 time=559ms
2024/05/20 10:47:50 QueryId=2 Results=9559 time=562ms
2024/05/20 10:47:50 QueryId=2 Results=12012 time=604ms
2024/05/20 10:47:50 QueryId=2 Results=9253 time=605ms
2024/05/20 10:47:50 QueryId=2 Results=10007 time=613ms
2024/05/20 10:47:50 QueryId=2 Results=15242 time=630ms
{"S3Fetches":1199,"cacheHits":17,"inFlightHits":78,"prefetcherHits":0}
2024/05/20 10:47:50 QueryId=3 Results=0 time=4ms
2024/05/20 10:47:50 QueryId=3 Results=0 time=4ms
2024/05/20 10:47:50 QueryId=3 Results=0 time=4ms
2024/05/20 10:47:50 QueryId=3 Results=1 time=10ms
2024/05/20 10:47:50 QueryId=3 Results=0 time=11ms
2024/05/20 10:47:50 QueryId=3 Results=1 time=13ms
2024/05/20 10:47:50 QueryId=3 Results=1 time=16ms
2024/05/20 10:47:50 QueryId=3 Results=1 time=20ms
2024/05/20 10:47:50 QueryId=3 Results=1 time=24ms
2024/05/20 10:47:50 QueryId=3 Results=1 time=25ms
2024/05/20 10:47:50 QueryId=3 Results=1 time=25ms
2024/05/20 10:47:50 QueryId=3 Results=1 time=26ms
2024/05/20 10:47:50 QueryId=3 Results=2 time=26ms
2024/05/20 10:47:50 QueryId=3 Results=2 time=26ms
2024/05/20 10:47:50 QueryId=3 Results=1 time=26ms
2024/05/20 10:47:50 QueryId=3 Results=1 time=29ms
2024/05/20 10:47:50 QueryId=3 Results=1 time=31ms
2024/05/20 10:47:50 QueryId=3 Results=1 time=35ms
2024/05/20 10:47:50 QueryId=3 Results=2 time=45ms
2024/05/20 10:47:50 QueryId=3 Results=2 time=77ms
{"S3Fetches":1237,"cacheHits":17,"inFlightHits":102,"prefetcherHits":2}
2024/05/20 10:47:51 QueryId=4 Results=14 time=806ms
2024/05/20 10:47:51 QueryId=4 Results=13 time=870ms
2024/05/20 10:47:51 QueryId=4 Results=24 time=1290ms
2024/05/20 10:47:51 QueryId=4 Results=27 time=1284ms
2024/05/20 10:47:51 QueryId=4 Results=21 time=1282ms
2024/05/20 10:47:51 QueryId=4 Results=26 time=1283ms
2024/05/20 10:47:52 QueryId=4 Results=31 time=1716ms
2024/05/20 10:47:52 QueryId=4 Results=29 time=1824ms
2024/05/20 10:47:52 QueryId=4 Results=34 time=1812ms
2024/05/20 10:47:52 QueryId=4 Results=29 time=1832ms
2024/05/20 10:47:52 QueryId=4 Results=30 time=1829ms
2024/05/20 10:47:52 QueryId=4 Results=25 time=1916ms
2024/05/20 10:47:52 QueryId=4 Results=31 time=1936ms
2024/05/20 10:47:52 QueryId=4 Results=33 time=1986ms
2024/05/20 10:47:52 QueryId=4 Results=29 time=2060ms
2024/05/20 10:47:52 QueryId=4 Results=31 time=2092ms
2024/05/20 10:47:52 QueryId=4 Results=36 time=2216ms
2024/05/20 10:47:52 QueryId=4 Results=39 time=2577ms
2024/05/20 10:47:52 QueryId=4 Results=41 time=2671ms
2024/05/20 10:47:52 QueryId=4 Results=42 time=2697ms
{"S3Fetches":6904,"cacheHits":4462,"inFlightHits":199,"prefetcherHits":25}
2024/05/20 10:47:53 QueryId=5 Results=1 time=10ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=16ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=17ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=21ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=21ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=22ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=32ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=33ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=33ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=33ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=33ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=34ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=38ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=38ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=45ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=70ms
2024/05/20 10:47:53 QueryId=5 Results=1 time=70ms
2024/05/20 10:47:53 QueryId=5 Results=7 time=76ms
2024/05/20 10:47:53 QueryId=5 Results=9 time=79ms
2024/05/20 10:47:53 QueryId=5 Results=13 time=80ms
{"S3Fetches":7015,"cacheHits":4515,"inFlightHits":206,"prefetcherHits":25}
2024/05/20 10:47:53 QueryId=6 Results=1 time=28ms
2024/05/20 10:47:53 QueryId=6 Results=1 time=31ms
2024/05/20 10:47:53 QueryId=6 Results=1 time=30ms
2024/05/20 10:47:53 QueryId=6 Results=1 time=31ms
2024/05/20 10:47:53 QueryId=6 Results=1 time=72ms
2024/05/20 10:47:53 QueryId=6 Results=1 time=116ms
2024/05/20 10:47:53 QueryId=6 Results=1 time=135ms
2024/05/20 10:47:53 QueryId=6 Results=2 time=151ms
2024/05/20 10:47:53 QueryId=6 Results=1 time=155ms
2024/05/20 10:47:53 QueryId=6 Results=8 time=182ms
2024/05/20 10:47:53 QueryId=6 Results=5 time=190ms
2024/05/20 10:47:53 QueryId=6 Results=5 time=203ms
2024/05/20 10:47:53 QueryId=6 Results=6 time=216ms
2024/05/20 10:47:53 QueryId=6 Results=8 time=219ms
2024/05/20 10:47:53 QueryId=6 Results=8 time=231ms
2024/05/20 10:47:53 QueryId=6 Results=6 time=480ms
2024/05/20 10:47:53 QueryId=6 Results=5 time=504ms
2024/05/20 10:47:53 QueryId=6 Results=9 time=512ms
2024/05/20 10:47:53 QueryId=6 Results=7 time=533ms
2024/05/20 10:47:53 QueryId=6 Results=6 time=532ms
{"S3Fetches":7403,"cacheHits":4785,"inFlightHits":222,"prefetcherHits":25}
