2024/05/20 10:47:53 Fetching files in bucket s3graphtest10oz--use1-az6--x-s3
2024/05/20 10:47:54 Fetched 173 objects
2024/05/20 10:47:54 QueryId=0 Results=52 time=4ms
2024/05/20 10:47:54 QueryId=0 Results=10 time=4ms
2024/05/20 10:47:54 QueryId=0 Results=112 time=5ms
2024/05/20 10:47:54 QueryId=0 Results=6 time=5ms
2024/05/20 10:47:54 QueryId=0 Results=13 time=5ms
2024/05/20 10:47:54 QueryId=0 Results=5 time=5ms
2024/05/20 10:47:54 QueryId=0 Results=75 time=6ms
2024/05/20 10:47:54 QueryId=0 Results=54 time=6ms
2024/05/20 10:47:54 QueryId=0 Results=28 time=6ms
2024/05/20 10:47:54 QueryId=0 Results=8 time=6ms
2024/05/20 10:47:54 QueryId=0 Results=56 time=8ms
2024/05/20 10:47:54 QueryId=0 Results=7 time=8ms
2024/05/20 10:47:54 QueryId=0 Results=22 time=8ms
2024/05/20 10:47:54 QueryId=0 Results=34 time=9ms
2024/05/20 10:47:54 QueryId=0 Results=0 time=9ms
2024/05/20 10:47:54 QueryId=0 Results=166 time=9ms
2024/05/20 10:47:54 QueryId=0 Results=97 time=9ms
2024/05/20 10:47:54 QueryId=0 Results=25 time=9ms
2024/05/20 10:47:54 QueryId=0 Results=23 time=9ms
2024/05/20 10:47:54 QueryId=0 Results=13 time=10ms
{"S3Fetches":20,"cacheHits":0,"inFlightHits":0,"prefetcherHits":0}
2024/05/20 10:47:54 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=4ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=5ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=8ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=8ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=8ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=8ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=8ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=8ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=8ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=9ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=8ms
2024/05/20 10:47:54 QueryId=1 Results=1 time=9ms
{"S3Fetches":40,"cacheHits":0,"inFlightHits":0,"prefetcherHits":0}
2024/05/20 10:47:54 QueryId=2 Results=1839 time=99ms
2024/05/20 10:47:54 QueryId=2 Results=2931 time=182ms
2024/05/20 10:47:54 QueryId=2 Results=3148 time=205ms
2024/05/20 10:47:54 QueryId=2 Results=5466 time=215ms
2024/05/20 10:47:54 QueryId=2 Results=3596 time=216ms
2024/05/20 10:47:54 QueryId=2 Results=6624 time=218ms
2024/05/20 10:47:54 QueryId=2 Results=4767 time=224ms
2024/05/20 10:47:54 QueryId=2 Results=4742 time=248ms
2024/05/20 10:47:54 QueryId=2 Results=3523 time=258ms
2024/05/20 10:47:54 QueryId=2 Results=6576 time=299ms
2024/05/20 10:47:54 QueryId=2 Results=4120 time=317ms
2024/05/20 10:47:55 QueryId=2 Results=10245 time=467ms
2024/05/20 10:47:55 QueryId=2 Results=9989 time=490ms
2024/05/20 10:47:55 QueryId=2 Results=6421 time=501ms
2024/05/20 10:47:55 QueryId=2 Results=9559 time=528ms
2024/05/20 10:47:55 QueryId=2 Results=10007 time=594ms
2024/05/20 10:47:55 QueryId=2 Results=9868 time=632ms
2024/05/20 10:47:55 QueryId=2 Results=12012 time=733ms
2024/05/20 10:47:55 QueryId=2 Results=9253 time=837ms
2024/05/20 10:47:55 QueryId=2 Results=15242 time=1186ms
{"S3Fetches":1163,"cacheHits":18,"inFlightHits":95,"prefetcherHits":18}
2024/05/20 10:47:55 QueryId=3 Results=0 time=4ms
2024/05/20 10:47:55 QueryId=3 Results=0 time=5ms
2024/05/20 10:47:55 QueryId=3 Results=0 time=8ms
2024/05/20 10:47:55 QueryId=3 Results=1 time=9ms
2024/05/20 10:47:55 QueryId=3 Results=1 time=10ms
2024/05/20 10:47:55 QueryId=3 Results=1 time=21ms
2024/05/20 10:47:55 QueryId=3 Results=0 time=22ms
2024/05/20 10:47:55 QueryId=3 Results=2 time=26ms
2024/05/20 10:47:55 QueryId=3 Results=2 time=26ms
2024/05/20 10:47:55 QueryId=3 Results=1 time=27ms
2024/05/20 10:47:55 QueryId=3 Results=1 time=29ms
2024/05/20 10:47:55 QueryId=3 Results=2 time=30ms
2024/05/20 10:47:55 QueryId=3 Results=1 time=34ms
2024/05/20 10:47:55 QueryId=3 Results=1 time=34ms
2024/05/20 10:47:55 QueryId=3 Results=2 time=35ms
2024/05/20 10:47:55 QueryId=3 Results=1 time=35ms
2024/05/20 10:47:55 QueryId=3 Results=1 time=36ms
2024/05/20 10:47:55 QueryId=3 Results=1 time=39ms
2024/05/20 10:47:55 QueryId=3 Results=1 time=38ms
2024/05/20 10:47:55 QueryId=3 Results=1 time=72ms
{"S3Fetches":1205,"cacheHits":18,"inFlightHits":117,"prefetcherHits":18}
2024/05/20 10:47:56 QueryId=4 Results=14 time=1168ms
2024/05/20 10:47:57 QueryId=4 Results=13 time=1447ms
2024/05/20 10:47:57 QueryId=4 Results=26 time=1545ms
2024/05/20 10:47:57 QueryId=4 Results=27 time=1553ms
2024/05/20 10:47:57 QueryId=4 Results=21 time=1636ms
2024/05/20 10:47:57 QueryId=4 Results=34 time=1663ms
2024/05/20 10:47:57 QueryId=4 Results=24 time=1696ms
2024/05/20 10:47:57 QueryId=4 Results=29 time=1703ms
2024/05/20 10:47:57 QueryId=4 Results=25 time=1740ms
2024/05/20 10:47:57 QueryId=4 Results=31 time=1757ms
2024/05/20 10:47:57 QueryId=4 Results=29 time=1770ms
2024/05/20 10:47:57 QueryId=4 Results=30 time=1924ms
2024/05/20 10:47:57 QueryId=4 Results=31 time=1967ms
2024/05/20 10:47:57 QueryId=4 Results=31 time=1982ms
2024/05/20 10:47:57 QueryId=4 Results=33 time=1994ms
2024/05/20 10:47:58 QueryId=4 Results=29 time=2392ms
2024/05/20 10:47:58 QueryId=4 Results=36 time=2436ms
2024/05/20 10:47:58 QueryId=4 Results=39 time=2708ms
2024/05/20 10:47:59 QueryId=4 Results=41 time=3184ms
2024/05/20 10:47:59 QueryId=4 Results=42 time=3488ms
{"S3Fetches":6464,"cacheHits":4834,"inFlightHits":235,"prefetcherHits":57}
2024/05/20 10:47:59 QueryId=5 Results=1 time=11ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=13ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=17ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=17ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=17ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=18ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=18ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=18ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=19ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=25ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=26ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=26ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=33ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=41ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=42ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=44ms
2024/05/20 10:47:59 QueryId=5 Results=1 time=50ms
2024/05/20 10:47:59 QueryId=5 Results=7 time=54ms
2024/05/20 10:47:59 QueryId=5 Results=9 time=78ms
2024/05/20 10:47:59 QueryId=5 Results=13 time=133ms
{"S3Fetches":6570,"cacheHits":4871,"inFlightHits":244,"prefetcherHits":76}
2024/05/20 10:47:59 QueryId=6 Results=1 time=28ms
2024/05/20 10:47:59 QueryId=6 Results=1 time=47ms
2024/05/20 10:47:59 QueryId=6 Results=1 time=90ms
